iter	Passed	Remaining
0	137	137391
1	141	70555
2	145	48473
3	150	37424
4	154	30672
5	157	26047
6	159	22588
7	162	20135
8	165	18183
9	169	16792
10	172	15542
11	176	14501
12	179	13632
13	182	12872
14	184	12141
15	186	11493
16	188	10902
17	190	10388
18	192	9950
19	194	9546
20	196	9174
21	198	8844
22	200	8528
23	202	8240
24	204	7985
25	206	7748
26	208	7524
27	210	7318
28	213	7136
29	215	6965
30	217	6787
31	218	6614
32	220	6460
33	222	6323
34	224	6193
35	226	6073
36	228	5949
37	230	5828
38	232	5717
39	234	5617
40	236	5524
41	238	5432
42	240	5348
43	242	5266
44	244	5191
45	246	5113
46	248	5041
47	250	4967
48	252	4898
49	254	4839
50	256	4777
51	258	4712
52	260	4653
53	262	4600
54	264	4542
55	266	4490
56	268	4441
57	270	4395
58	272	4350
59	274	4299
60	276	4254
61	278	4208
62	279	4159
63	281	4113
64	283	4074
65	285	4035
66	287	3997
67	288	3960
68	291	3928
69	292	3890
70	294	3856
71	296	3825
72	298	3795
73	300	3765
74	302	3732
75	304	3702
76	306	3673
77	308	3643
78	310	3614
79	311	3584
80	313	3556
81	315	3533
82	317	3507
83	319	3479
84	320	3454
85	322	3431
86	324	3410
87	326	3381
88	327	3353
89	329	3332
90	331	3307
91	333	3287
92	335	3270
93	337	3257
94	339	3238
95	341	3216
96	343	3196
97	344	3174
98	346	3151
99	348	3133
100	350	3118
101	352	3102
102	354	3088
103	356	3073
104	358	3053
105	359	3030
106	360	3011
107	362	2995
108	364	2979
109	366	2965
110	368	2949
111	370	2937
112	372	2921
113	373	2906
114	375	2891
115	377	2876
116	379	2864
117	381	2850
118	383	2837
119	384	2821
120	386	2806
121	388	2793
122	389	2779
123	391	2764
124	393	2752
125	395	2741
126	397	2731
127	399	2720
128	401	2711
129	403	2698
130	405	2688
131	406	2674
132	408	2664
133	410	2654
134	412	2645
135	414	2632
136	416	2623
137	418	2612
138	419	2600
139	422	2592
140	423	2580
141	425	2572
142	427	2563
143	429	2555
144	432	2548
145	434	2540
146	436	2530
147	437	2518
148	439	2510
149	441	2502
150	443	2494
151	445	2486
152	447	2476
153	449	2467
154	451	2460
155	453	2451
156	455	2443
157	457	2437
158	459	2430
159	461	2423
160	463	2417
161	465	2409
162	467	2398
163	468	2389
164	470	2382
165	472	2374
166	474	2366
167	476	2359
168	478	2350
169	479	2343
170	481	2334
171	483	2328
172	485	2322
173	487	2315
174	489	2308
175	491	2302
176	493	2294
177	494	2285
178	496	2278
179	498	2270
180	499	2261
181	501	2254
182	503	2249
183	505	2243
184	507	2235
185	509	2228
186	511	2223
187	513	2217
188	515	2211
189	517	2205
190	519	2198
191	521	2193
192	522	2186
193	525	2182
194	527	2177
195	529	2170
196	530	2164
197	532	2156
198	534	2150
199	536	2144
200	538	2139
201	540	2133
202	541	2127
203	543	2122
204	545	2116
205	547	2110
206	549	2106
207	551	2099
208	553	2093
209	555	2089
210	557	2084
211	559	2078
212	560	2072
213	562	2065
214	564	2061
215	566	2055
216	568	2049
217	569	2043
218	571	2038
219	573	2032
